year,cc,ex.rate
1980,AED,0.269733014415929
1981,AED,0.272405867798637
1982,AED,0.272406292361527
1983,AED,0.27240449190796
1984,AED,0.272406086014937
1985,AED,0.272403892393426
1986,AED,0.272405207877852
1987,AED,0.272408104220339
1988,AED,0.272405990389152
1989,AED,0.272405480666658
1990,AED,0.272407713972438
1991,AED,0.272407295874107
1992,AED,0.272406470387751
1993,AED,0.272406227144499
1994,AED,0.272406690207693
1995,AED,0.272406359240395
1996,AED,0.272405708880023
1997,AED,0.272396739725157
1998,AED,0.272295003127791
1999,AED,0.27229535111005
2000,AED,0.272295342897482
2001,AED,0.272294307258845
2002,AED,0.272293577981651
2003,AED,0.272293293508109
2004,AED,0.272294865134718
2005,AED,0.272293363324157
2006,AED,0.272294639234152
2007,AED,0.27229416888842
2008,AED,0.272294439553231
2009,AED,0.272294182146612
2010,AED,0.2722950908893
2011,AED,0.27229391167859
2012,AED,0.272294120978704
2013,AED,0.272294870050347
2014,AED,0.272294187269858
2015,AED,0.272293799270503
2016,AED,0.272293874300378
2017,AED,0.272294776769839
2018,AED,0.27229363530867
2019,AED,0.272293771619535
2020,AED,0.272293991148788
2021,AED,0.272294948646982
2022,AED,0.272294449008963
2023,AED,0.272294059765984
2024,AED,0.272293318319461
2025,AED,0.272294307175715
2026,AED,0.272293537240317
2027,AED,0.272294054244297
2028,AED,0.272294029022282
2002,AFN,0.0244299492045022
2003,AFN,0.0206942317044902
2004,AFN,0.0209008569919987
2005,AFN,0.0202245790782026
2006,AFN,0.0200250421465689
2007,AFN,0.0200142691727389
2008,AFN,0.0198972385021323
2009,AFN,0.0198706579252899
2010,AFN,0.0215311643407389
2011,AFN,0.0213938403916663
2012,AFN,0.0196335103861299
2013,AFN,0.0180600449486493
2014,AFN,0.0174262915877739
2015,AFN,0.0163521038342696
2016,AFN,0.0147352238903608
2017,AFN,0.0146896830706518
2018,AFN,0.0138594099526245
2019,AFN,0.0128443113772455
2020,AFN,0.0130137207633992
2021,AFN,0.0121189753905553
1980,ALL,0.10525177132349
1981,ALL,0.116542925860086
1982,ALL,0.116560056858564
1983,ALL,0.116532663316583
1984,ALL,0.116569101552558
1985,ALL,0.116571143782706
1986,ALL,0.125024163928088
1987,ALL,0.124981734937412
1988,ALL,0.125012352999308
1989,ALL,0.125022494151521
1990,ALL,0.111016694991503
1991,ALL,0.0682924330139864
1992,ALL,0.0133089152365766
1993,ALL,0.00979603331053627
1994,ALL,0.0105604036301667
1995,ALL,0.0107768936221132
1996,ALL,0.00957055141330127
1997,ALL,0.00681809950380896
1998,ALL,0.00665197688438033
1999,ALL,0.00723409243587605
2000,ALL,0.00694933549348662
2001,ALL,0.00697134966962405
2002,ALL,0.00712210111811091
2003,ALL,0.00827901047307367
2004,ALL,0.00974031255761493
2005,ALL,0.0100128953955852
2006,ALL,0.0101932430806602
2007,ALL,0.0110581982086485
2008,ALL,0.0119193470777659
2009,ALL,0.0105285242232984
2010,ALL,0.0096293308595168
2011,ALL,0.00991757777060171
2012,ALL,0.00924662930200104
2013,ALL,0.00946927891559572
2014,ALL,0.00949323089492658
2015,ALL,0.00794040339954403
2016,ALL,0.00805579702270999
2017,ALL,0.00841776029407023
2018,ALL,0.00926053777959712
2019,ALL,0.00910160174951238
2020,ALL,0.00922163612414488
2021,ALL,0.00968876773140391
2022,ALL,0.00892421223940066
2023,ALL,0.00995995606410489
2024,ALL,0.0102145305806014
2025,ALL,0.00998798910304743
2026,ALL,0.00988502149845474
2027,ALL,0.0098571099562418
2028,ALL,0.00984849434203436
1992,AMD,0.366101694915254
1993,AMD,0.214267385168078
1994,AMD,0.00346403656483041
1995,AMD,0.00246430869152293
1996,AMD,0.00241527262938042
1997,AMD,0.00203770563545583
1998,AMD,0.00198035347006704
1999,AMD,0.00186846038863976
2000,AMD,0.00185389881125526
2001,AMD,0.00180120420451066
2002,AMD,0.00174389160862258
2003,AMD,0.00172776738231239
2004,AMD,0.001874787075133
2005,AMD,0.00218469111142816
2006,AMD,0.00240344252481938
2007,AMD,0.00292320784433267
2008,AMD,0.00326828707790697
2009,AMD,0.00275269364824217
2010,AMD,0.00267614588752095
2011,AMD,0.00268452467608094
2012,AMD,0.00248894868345185
2013,AMD,0.00244114987136824
2014,AMD,0.00240440870391809
2015,AMD,0.00209234222177281
2016,AMD,0.00208119132711962
2017,AMD,0.00207152856775733
2018,AMD,0.00207045324611437
2019,AMD,0.00208135930995275
2020,AMD,0.00204500234555719
2021,AMD,0.0019849748530709
2022,AMD,0.00229537584221026
2023,AMD,0.00256984609198038
2024,AMD,0.00257170163869
2025,AMD,0.00254737004863512
2026,AMD,0.00251488003728505
2027,AMD,0.00248422533678822
2028,AMD,0.00245627558763535
1980,ANG,0.555555555555555
1981,ANG,0.555555555555556
1982,ANG,0.555555555555556
1983,ANG,0.555555555555555
1984,ANG,0.555555555555556
1985,ANG,0.555555555555556
1986,ANG,0.555555555555555
1987,ANG,0.555555555555555
1988,ANG,0.555555555555556
1989,ANG,0.555555555555556
1990,ANG,0.555555555555556
